timestamp,ambient_temp,module_temp,irradiation,measured_dc1,measured_dc2,measured_dc3,measured_dc4,measured_dc5,measured_dc6,measured_dc7,measured_dc8,measured_dc9,measured_dc10,measured_dc11,measured_dc12,measured_dc13,measured_dc14,measured_dc15,measured_dc16,measured_dc17,measured_dc18,measured_dc19,measured_dc20,measured_dc21,measured_dc22
0,28.523,45.123,0.001234,209.6909942626953,177.80799865722656,170.59300231933594,358.3290100097656,409.5320129394531,429.2340087890625,288.2449951171875,282.8559875488281,471.0690002441406,236.9980010986328,88.11900329589844,311.5409851074219,295.489990234375,82.91300201416016,0.6589999794960022,362.0799865722656,-28.56399917602539,103.56099700927734,359.9639892578125,167.5070037841797,41.04399871826172,466.1419982910156
1,32.145,50.876,0.006789,344.5539855957031,102.23300170898438,142.53599548339844,381.60101318359375,578.1099853515625,528.364013671875,337.35101318359375,290.322998046875,495.3169860839844,272.1059875488281,93.58899688720703,338.2760009765625,313.843994140625,91.8219985961914,-138.9409942626953,388.75299072265625,-26.673999786376953,186.55099487304688,398.09698486328125,198.28500366210938,45.500999450683594,509.64801025390625
2,30.654,32.456,0.013546,10.88599967956543,57.41999816894531,61.74599838256836,133.66799926757812,134.66799926757812,91.61799621582031,151.1230010986328,70.63200378417969,44.904998779296875,125.81300354003906,18.763999938964844,79.69999694824219,171.57899475097656,142.19000244140625,-28.076000213623047,116.11199951171875,20.007999420166016,14.265999794006348,176.0240020751953,46.13800048828125,105.00499725341797,113.29399871826172
3,33.872,40.654,0.035214,274.7430114746094,95.72699737548828,87.87699890136719,286.6050109863281,368.7550048828125,278.9490051269531,238.74200439453125,162.60299682617188,193.3280029296875,243.031005859375,84.94200134277344,181.177001953125,297.7300109863281,250.2760009765625,-61.832000732421875,295.2250061035156,96.67500305175781,135.22799682617188,311.2300109863281,183.6739959716797,148.98300170898438,271.0320129394531
4,27.934,35.234,0.078965,331.7539978027344,398.5509948730469,332.7539978027344,608.7919921875,454.9840087890625,500.4020080566406,653.8419799804688,555.3179931640625,499.31500244140625,458.96099853515625,374.093994140625,421.6940002441406,480.2099914550781,465.2250061035156,307.3689880371094,546.7789916992188,313.9209899902344,325.09600830078125,526.5679931640625,266.47198486328125,362.4179992675781,480.90399169921875
5,29.214,48.765,0.112456,1122.551025390625,916.3909912109375,750.1640014648438,1241.7779541015625,1180.8509521484375,1147.8189697265625,1679.4940185546875,1082.7550048828125,1788.822021484375,1025.9229736328125,857.9920043945312,1310.5679931640625,1146.2449951171875,809.93798828125,698.8690185546875,1144.6419677734375,505.6369934082031,815.489990234375,987.2659912109375,864.47998046875,664.0,1615.5780029296875
6,31.457,37.123,0.198743,1207.20703125,1631.5909423828125,1359.01904296875,1690.8349609375,1295.3690185546875,1498.7320556640625,1596.9990234375,1991.68896484375,1362.02099609375,1643.6199951171875,1492.197998046875,1271.5379638671875,1757.6800537109375,1605.0889892578125,1222.18994140625,1532.5389404296875,1278.958984375,1210.175048828125,1450.8370361328125,1153.989990234375,1860.2569580078125,1058.5799560546875
7,30.987,42.432,0.245678,2137.909912109375,2253.81396484375,2210.736083984375,2722.60009765625,2181.77001953125,2546.660888671875,2519.181884765625,2670.052001953125,2670.958984375,2496.72998046875,2578.58203125,2433.985107421875,2465.030029296875,2282.659912109375,1869.8900146484375,2276.613037109375,1859.3050537109375,2018.81005859375,2046.614990234375,1969.843017578125,2378.59912109375,2432.469970703125
8,26.345,30.987,0.321476,5130.55908203125,5056.625,4870.8798828125,4914.0380859375,5062.962890625,5139.28515625,4742.7978515625,5089.93212890625,5040.73876953125,5027.39404296875,4901.7177734375,4980.3759765625,4949.591796875,5251.0517578125,5348.921875,5440.27197265625,5313.8681640625,5015.26806640625,5495.43408203125,4962.341796875,5057.39794921875,4739.22607421875
9,29.876,41.876,0.379863,4996.578125,4897.173828125,4662.34619140625,5001.01806640625,4965.1259765625,5100.2119140625,4772.53076171875,5024.8720703125,5245.34423828125,4876.009765625,5521.091796875,4984.830078125,4856.67578125,4888.31689453125,5079.0,4885.47802734375,4754.06787109375,4687.57421875,4786.990234375,4807.90576171875,5098.10205078125,4762.81005859375
10,32.109,50.432,0.394561,5016.498046875,4546.84814453125,4419.94580078125,4752.80810546875,4625.4228515625,4941.98876953125,4754.4169921875,4745.01220703125,5328.25,4741.89404296875,5691.2119140625,4907.90380859375,4656.20703125,4586.748046875,4365.34619140625,4088.530029296875,4233.22998046875,4444.22705078125,3957.035888671875,4594.2421875,4754.06396484375,4775.15576171875
11,31.234,36.214,0.423145,4819.6240234375,4907.2919921875,4734.7998046875,5050.97509765625,4967.7900390625,5261.22412109375,4336.36181640625,5176.9560546875,4865.3017578125,5019.42822265625,5337.462890625,4836.33203125,5075.419921875,5407.205078125,5540.5390625,5934.10986328125,5199.509765625,4901.41796875,5431.26513671875,4676.08984375,5559.2900390625,4251.2158203125
12,27.89,28.765,0.564389,6512.2998046875,7090.08203125,7292.99609375,7229.671875,7547.69482421875,7661.3017578125,6792.09423828125,7073.498046875,7175.15576171875,7644.25390625,6035.61181640625,7044.14794921875,7678.7998046875,7566.916015625,7523.02978515625,8131.8701171875,7723.07177734375,7678.22021484375,8077.509765625,7155.328125,7719.18408203125,6649.43896484375
