timestamp,ambient_temp,module_temp,irradiation,measured_dc1,measured_dc2,measured_dc3,measured_dc4,measured_dc5,measured_dc6,measured_dc7,measured_dc8,measured_dc9,measured_dc10,measured_dc11,measured_dc12,measured_dc13,measured_dc14,measured_dc15,measured_dc16,measured_dc17,measured_dc18,measured_dc19,measured_dc20,measured_dc21,measured_dc22
0,28.523,45.123,0.001234,247.03725164718082,624.7562653722512,89.03912456718962,238.00906171558822,305.37695303421765,201.98361604428436,18.934158457211193,213.20096090894575,190.08318804061054,172.01509408932154,82.74542592244451,89.48067807512814,4.705881907012356,139.89962988663837,403.09926024597445,547.5130182546196,-143.22718529109022,162.37076517164954,279.4291642555944,358.85689242705234,-19.891616317688367,105.89400047839624
1,32.145,50.876,0.006789,173.16699822428174,579.6933411887325,143.45395173104026,268.50932328993997,328.20673138016764,147.5982075456516,-121.70558550972635,239.21250586795952,252.40279349434346,135.46261348650697,113.83647338706534,73.92154605718966,-6.19547979203938,111.19770958516163,375.37401315851594,621.5642887714986,-305.93809869494567,94.68671681312745,287.02265070338353,372.2584096787605,-74.95236597652347,117.49124297273391
2,30.654,32.456,0.013546,133.91236575465317,109.74353371705254,97.4023372688237,128.4194148819695,85.55468942450041,29.72350911773496,132.49716097616815,76.94281704137873,57.10816110741426,165.59766773361434,74.7399075763036,28.65092694650159,144.98161234627432,67.8908379176179,99.46540671576102,53.215532741251046,40.05461889211062,29.506763461711394,17.66552727274936,113.97281693059466,25.77884661522969,88.71057835107419
3,33.872,40.654,0.035214,175.54788924948951,278.96838397554046,209.03109500356493,241.8734856949264,219.89865967810894,81.08486973553133,158.05086689954345,191.62513700922423,242.0827877190836,203.00658728817092,177.08035854559196,88.50406018812943,206.82679867926026,137.10223651568123,231.6622490215597,232.908283983255,-29.830804752753018,83.20778579342644,142.687654223677,236.5076647130526,19.77749110021985,191.41313649486491
4,27.934,35.234,0.078965,423.6932774071869,678.0243750732628,282.8343959054363,402.5388267187591,449.0971754757736,439.36507763836454,393.08600950712844,577.0864208665556,314.06857999516643,457.6536883621237,310.0555607199811,351.4274300837737,483.32757891726186,409.3850125501676,461.3411061184605,519.6460801906873,333.9852044540572,365.1666870697921,462.8654329669178,434.953309193821,294.23396342391544,339.34630721967056
5,29.214,48.765,0.112456,873.2817195847744,1713.2453894892305,470.45424741943214,751.1755614296446,1270.9863275325947,856.6851248686535,587.0552720539512,1335.1673172145343,899.538103623837,828.2396241895811,727.701878741449,526.6244314431095,798.8400422092535,863.9583686360346,955.9769706536031,1455.9724185456512,382.55088108349634,799.2371499243659,1194.6827578603225,1112.05521700017,523.096812911987,816.4355583118008
6,31.457,37.123,0.198743,1265.9900985258105,1511.641502899028,1695.4556372273967,1823.023268609505,1416.7466150944492,1229.6429865372245,2002.2164805045877,1783.8821392733141,1422.8350684699333,1327.8180978605517,1446.254638190845,1794.3128406649848,1462.0232664953035,1728.2724007030681,1466.8477949135274,1302.7441011707012,1655.1093084808472,1287.0131572159655,1268.1418201626138,1164.237035415896,1325.9674324816085,1169.6976785439545
7,30.987,42.432,0.245678,2125.770896289941,2348.786481767095,2626.3362382962428,2537.2594026545435,2483.7717997582363,2180.0454241514126,2327.0153198127305,2712.6059763671838,1979.0339788425117,2186.8089103842385,2803.0447061389473,2700.481039793049,2323.7735639072966,2558.714099015972,2148.0214664788687,2667.414373921939,2197.64314024433,2008.7269220007602,2137.940925072146,1937.7410027874066,1862.7747502943007,1892.5372402771725
8,26.345,30.987,0.321476,5089.491173011169,4983.15234279544,5485.142224730752,4934.565965224606,5361.9331039097815,5773.1604569647625,4593.293801853616,4843.272008569887,5118.982619014631,5016.897377236374,4479.138203631716,5011.654914547258,5253.949369460819,5020.2037867141935,5587.1932423672615,5320.504653791318,5283.81933294633,5232.165328366319,4941.547294939387,4893.324736102961,5349.489156233566,4912.043236727527
9,29.876,41.876,0.379863,4853.7256482383455,4847.856455890264,4911.8964910455115,5690.953929124203,5440.843278766359,4900.156763454246,4430.9313559807115,5018.643614305141,4760.253878621913,5262.328670747224,4798.452354103508,5109.496012125204,5155.871629537585,5423.4475433066555,5790.718304456436,5355.257534167985,4916.214951079993,4904.74362623729,4940.630637001644,4764.846319761537,4794.610423986388,4400.229435202942
10,32.109,50.432,0.394561,4667.918694028782,4639.931970904527,4253.915692179376,5455.4433941266,5410.069430173704,4512.772189520801,4294.541041675021,4923.625371628999,4323.353326223622,5120.338313733478,5334.172858891871,5141.539109967017,4589.125997945442,5122.305667158319,4611.944628045538,5081.012785157449,4730.723583844542,4100.004628403975,4275.433301827147,4065.1516247640375,4272.076553389041,4216.07835981222
